Regency,Province,Year,Latitude,Longitude,CO2_Mt,RE_Share_pct,Coal_MW,Y_actual,Y_fitted,Residual,R2_local,beta_Intercept,beta_CO2_Mt,beta_RE_Share_pct,beta_Coal_MW,beta_N_Smelters,beta_Emission_Intensity
North Morowali Regency,Central Sulawesi,2020,-2.05177,121.46864,9.732,0.0,2995.0,10.4665,14.8939,-4.4274,0.4067,1.867704,-2.532781,0.0,1.47667,0.773326,3.774718
North Morowali Regency,Central Sulawesi,2024,-2.05177,121.46864,18.2475,0.0,2995.0,34.5565,12.5076,22.0489,0.3841,1.808574,-3.003746,0.0,1.92035,0.878997,3.502743
North Morowali Regency,Central Sulawesi,2029,-2.05177,121.46864,24.3301,0.0,2995.0,-0.1925,9.8304,-10.0229,0.3559,1.757709,-3.516642,0.0,2.467639,1.003899,3.106831
North Morowali Regency,Central Sulawesi,2035,-2.05177,121.46864,26.7631,0.0,2995.0,-0.0825,7.4994,-7.5819,0.3225,1.719253,-3.995081,0.0,3.067207,1.132638,2.583246
Morowali Regency,South East Sulawesi,2020,-2.68493,117.572,15.8098,0.0,3790.0,3.6194,6.9511,-3.3317,0.4084,1.891804,-2.565454,0.0,1.531484,0.767043,3.753424
Morowali Regency,South East Sulawesi,2024,-2.68493,117.572,29.6433,0.0,3790.0,11.95,4.3855,7.5645,0.3859,1.829239,-3.039971,0.0,1.970224,0.876838,3.486907
Morowali Regency,South East Sulawesi,2029,-2.68493,117.572,39.5244,0.0,3790.0,-0.0666,1.9481,-2.0147,0.3578,1.773983,-3.555269,0.0,2.50951,1.006786,3.098201
Morowali Regency,South East Sulawesi,2035,-2.68493,117.572,43.4768,0.0,3790.0,-0.0285,0.6936,-0.7221,0.3245,1.730011,-4.032758,0.0,3.096608,1.140729,2.583182
North Halmahera Regency,North Maluku,2020,0.0,0.0,5.5554,0.0,2202.0,0.4675,1.2215,-0.754,0.4135,1.980984,-2.248918,0.0,1.535268,0.503129,3.60894
North Halmahera Regency,North Maluku,2024,0.0,0.0,10.4163,0.0,2202.0,1.5434,0.507,1.0364,0.3896,1.878941,-2.65446,0.0,1.855125,0.648655,3.380266
North Halmahera Regency,North Maluku,2029,0.0,0.0,13.8885,0.0,2202.0,-0.0086,-0.1309,0.1223,0.3595,1.764952,-3.097962,0.0,2.245394,0.828678,3.041961
North Halmahera Regency,North Maluku,2035,0.0,0.0,15.2773,0.0,2202.0,-0.0037,-0.3735,0.3698,0.3236,1.644847,-3.515338,0.0,2.667386,1.027001,2.587811
South Halmahera Regency,North Maluku,2020,-1.53168,127.42603,15.4111,0.0,4114.0,1.2968,5.3862,-4.0894,0.4054,1.844774,-2.502084,0.0,1.427577,0.779292,3.793997
South Halmahera Regency,North Maluku,2024,-1.53168,127.42603,28.8959,0.0,4114.0,4.2817,2.769,1.5127,0.3827,1.788856,-2.969756,0.0,1.875481,0.881094,3.51708
South Halmahera Regency,North Maluku,2029,-1.53168,127.42603,38.5278,0.0,4114.0,-0.0239,0.2329,-0.2568,0.3543,1.742108,-3.480314,0.0,2.429644,1.001226,3.11463
South Halmahera Regency,North Maluku,2035,-1.53168,127.42603,42.3806,0.0,4114.0,-0.0102,-1.1904,1.1802,0.3209,1.708817,-3.959309,0.0,3.03998,1.124964,2.583244
Central Halmahera Regency,North Maluku,2020,0.42185,120.5344,12.4588,0.0,2687.0,1.0484,3.8482,-2.7998,0.4023,1.767496,-2.375839,0.0,1.285202,0.771589,3.843196
Central Halmahera Regency,North Maluku,2024,0.42185,120.5344,23.3602,0.0,2687.0,3.4614,1.897,1.5644,0.379,1.718527,-2.827193,0.0,1.732488,0.866308,3.555154
Central Halmahera Regency,North Maluku,2029,0.42185,120.5344,31.147,0.0,2687.0,-0.0193,0.0184,-0.0377,0.35,1.680181,-3.323782,0.0,2.290367,0.978243,3.137884
Central Halmahera Regency,North Maluku,2035,0.42185,120.5344,34.2617,0.0,2687.0,-0.0083,-0.9942,0.9859,0.3161,1.657382,-3.798167,0.0,2.913897,1.09449,2.588646
East Halmahera Regency,North Maluku,2020,0.83997,128.24607,0.4966,0.0,80.0,0.0418,0.7353,-0.6935,0.402,1.740509,-2.340695,0.0,1.238868,0.77717,3.862432
East Halmahera Regency,North Maluku,2024,0.83997,128.24607,0.9312,0.0,80.0,0.138,0.6216,-0.4836,0.3785,1.694777,-2.788431,0.0,1.688684,0.868065,3.569798
East Halmahera Regency,North Maluku,2029,0.83997,128.24607,1.2416,0.0,80.0,-0.0008,0.4928,-0.4936,0.3492,1.660621,-3.282137,0.0,2.251121,0.975229,3.146402
East Halmahera Regency,North Maluku,2035,0.83997,128.24607,1.3657,0.0,80.0,-0.0003,0.3794,-0.3797,0.3151,1.643117,-3.756216,0.0,2.882525,1.086354,2.58975
Konawe Regency,South East Sulawesi,2020,-3.88915,122.41025,5.8279,0.0,2310.0,1.3342,1.2995,0.0347,0.412,1.927747,-2.615241,0.0,1.622416,0.756999,3.717994
Konawe Regency,South East Sulawesi,2024,-3.88915,122.41025,10.9272,0.0,2310.0,4.405,0.5543,3.8507,0.3897,1.860065,-3.094698,0.0,2.052316,0.87297,3.460296
Konawe Regency,South East Sulawesi,2029,-3.88915,122.41025,14.5696,0.0,2310.0,-0.0245,-0.0634,0.0389,0.3617,1.798233,-3.612621,0.0,2.577313,1.010348,3.083206
Konawe Regency,South East Sulawesi,2035,-3.88915,122.41025,16.0266,0.0,2310.0,-0.0105,-0.1696,0.1591,0.3283,1.745837,-4.086607,0.0,3.142179,1.151653,2.581927
Kolaka Regency,South East Sulawesi,2020,-4.11521,121.49154,3.1601,0.0,87.0,0.7235,1.0585,-0.335,0.4128,1.934835,-2.623191,0.0,1.640714,0.753709,3.710469
Kolaka Regency,South East Sulawesi,2024,-4.11521,121.49154,5.9251,0.0,87.0,2.3886,0.3305,2.0581,0.3905,1.865935,-3.103417,0.0,2.068187,0.871169,3.454734
Kolaka Regency,South East Sulawesi,2029,-4.11521,121.49154,7.9002,0.0,87.0,-0.0133,-0.4201,0.4068,0.3625,1.802521,-3.621647,0.0,2.589501,1.010371,3.080221
Kolaka Regency,South East Sulawesi,2035,-4.11521,121.49154,8.6902,0.0,87.0,-0.0057,-0.9555,0.9498,0.329,1.748129,-4.094783,0.0,3.149027,1.153562,2.581979
Bombana Regency,South East Sulawesi,2020,-5.00767,121.93529,0.0973,0.0,30.0,0.0223,0.5935,-0.5712,0.4157,1.960029,-2.649163,0.0,1.70822,0.740571,3.68196
Bombana Regency,South East Sulawesi,2024,-5.00767,121.93529,0.1824,0.0,30.0,0.0735,0.5705,-0.497,0.3935,1.886657,-3.131566,0.0,2.125947,0.863455,3.433557
Bombana Regency,South East Sulawesi,2029,-5.00767,121.93529,0.2432,0.0,30.0,-0.0004,0.5392,-0.5396,0.3655,1.817395,-3.650066,0.0,2.632586,1.00927,3.068661
Bombana Regency,South East Sulawesi,2035,-5.00767,121.93529,0.2675,0.0,30.0,-0.0002,0.5023,-0.5025,0.3318,1.755544,-4.118979,0.0,3.171006,1.159207,2.581709
South Konawe Regency,South East Sulawesi,2020,-4.4386,122.34905,0.0345,0.0,2.0,0.0079,0.2682,-0.2603,0.4138,1.943921,-2.633513,0.0,1.665031,0.749488,3.700388
South Konawe Regency,South East Sulawesi,2024,-4.4386,122.34905,0.0647,0.0,2.0,0.0261,0.3184,-0.2923,0.3915,1.873492,-3.114604,0.0,2.089259,0.868811,3.447219
South Konawe Regency,South East Sulawesi,2029,-4.4386,122.34905,0.0863,0.0,2.0,-0.0001,0.3805,-0.3806,0.3635,1.808083,-3.633013,0.0,2.60562,1.010274,3.076075
South Konawe Regency,South East Sulawesi,2035,-4.4386,122.34905,0.0949,0.0,2.0,-0.0001,0.4494,-0.4495,0.33,1.751132,-4.104684,0.0,3.157904,1.15575,2.581794
Kendari City,South East Sulawesi,2020,-4.0062,122.63665,0.0056,0.0,0.0,0.0013,-0.0277,0.029,0.4124,1.931166,-2.619373,0.0,1.631396,0.755573,3.714336
Kendari City,South East Sulawesi,2024,-4.0062,122.63665,0.0106,0.0,0.0,0.0043,-0.0175,0.0218,0.3901,1.86293,-3.099199,0.0,2.060182,0.872221,3.457569
Kendari City,South East Sulawesi,2029,-4.0062,122.63665,0.0141,0.0,0.0,-0.0,-0.0038,0.0038,0.3621,1.800377,-3.617247,0.0,2.583459,1.01042,3.081702
Kendari City,South East Sulawesi,2035,-4.0062,122.63665,0.0155,0.0,0.0,-0.0,0.0129,-0.0129,0.3286,1.74706,-4.090759,0.0,3.145783,1.152557,2.581865
North Konawe Regency,South East Sulawesi,2020,-3.5232,122.16481,0.0021,0.0,0.0,0.0005,-0.0246,0.0251,0.4109,1.916643,-2.601408,0.0,1.593787,0.761299,3.729525
North Konawe Regency,South East Sulawesi,2024,-3.5232,122.16481,0.0039,0.0,0.0,0.0016,-0.0135,0.0151,0.3885,1.850723,-3.079566,0.0,2.027067,0.875121,3.468885
North Konawe Regency,South East Sulawesi,2029,-3.5232,122.16481,0.0052,0.0,0.0,-0.0,0.001,-0.001,0.3605,1.791172,-3.596931,0.0,2.557312,1.009884,3.087927
North Konawe Regency,South East Sulawesi,2035,-3.5232,122.16481,0.0057,0.0,0.0,-0.0,0.0183,-0.0183,0.3271,1.741685,-4.072241,0.0,3.130002,1.148538,2.582085
