Regency,Province,Kerugian_BAU_TrRp,Kerugian_REAPC_TrRp,Surplus_Diselamatkan_TrRp
North Morowali Regency,Central Sulawesi,-4.876,-1.679,-3.197
Morowali Regency,South East Sulawesi,-3.47,-0.21,-3.26
North Halmahera Regency,North Maluku,-0.476,1.101,-1.577
South Halmahera Regency,North Maluku,-4.14,-2.03,-2.11
Central Halmahera Regency,North Maluku,-0.335,-4.816,4.481
East Halmahera Regency,North Maluku,-0.436,-0.871,0.435
Konawe Regency,South East Sulawesi,-2.932,-0.664,-2.268
Kolaka Regency,South East Sulawesi,-0.669,0.23,-0.899
Bombana Regency,South East Sulawesi,0.002,0.035,-0.034
South Konawe Regency,South East Sulawesi,0.247,0.259,-0.012
Kendari City,South East Sulawesi,-0.196,-0.195,-0.001
North Konawe Regency,South East Sulawesi,-0.292,-0.292,-0.0
