Provinsi,Sektor,D,,,J,,,Lain-lain,,
,,1,…,16,1,…,16,1,…,16
D,1,Z DD 11,…,Z DD 116,Z DJ 11,…,Z DJ 116,Z DL 11,…,Z DL 116
,¦,¦,¦,¦,¦,¦,¦,¦,¦,¦
,16,Z DD 161,…,Z DD 1616,Z DJ 161,…,Z DJ 1616,Z DL 161,…,Z DL 1616
J,1,Z JD 11,…,Z JD 116,Z JJ 11,…,Z JJ 116,Z JL 11,…,Z JL 116
,¦,¦,¦,¦,¦,¦,¦,¦,¦,¦
,16,Z JD 161,…,Z JD 1616,Z JJ 161,…,Z JJ 1616,Z JL 161,…,Z JL 1616
Lain-lain,1,Z LD 11,…,Z LD 116,Z LJ 11,…,Z LJ 116,Z LL 11,…,Z LL 116
,¦,¦,¦,¦,¦,¦,¦,¦,¦,¦
,16,Z LD 161,…,Z LD 1616,Z LJ 161,…,Z LJ 1616,Z LL 161,…,Z LL 1616
