Primary Nickel Product,,,,2023,,,2028,,% Change,,
,,,,(tonnes),,,(tonnes),,,,
,Antam ferronickel output,,,"21,473",,,"40,500",,,88.6,
,MBMA ferronickel,,,"65,117",,,"88,000",,,35.1,
,MBMA matte,,,"30,333",,,"50,000",,,64.8,
,MBMA MHP,,,,,,"120,000",,,,
,TBP ferronickel,,,"101,538",,,"305,000",,,200.4,
,TBP MHP,,,"63,655",,,"120,000",,,88.5,
,Vale matte,,,"70,728",,,"70,000",,,,
,Vale ferronickel,,,,,,"73,000",,,,
,Vale MHP,,,,,,"180,000",,,,
,Total from the 4 companies,,,,,,,,,,
,Total ferronickel,,,"188,128",,,"506,500",,,169.2,
,Total matte,,,"101,061",,,"120,000",,,18.7,
,Total MHP,,,"63,655",,,"420,000",,,559.8,
,Total nickel,,,"352,844",,,"1,046,500",,,196.6,
