Companies,,,Product,,,,Intensity,,,2023,,,Intensity,,,2028,
,,,,,,,(tCO /tNi) 2,,,(tonnes),,,(tCO /tNi) 2,,,(tonnes),
,Antam,,,Ferronickel,,,69.9,,,"24,173",,,28.7,,,"40,500",
MBMA,,,,Ferronickel,,,56.9,,,"65,117",,,28.7,,,"88,000",
,,,,Matte,,,2.0,,,"30,333",,,2.0,,,"50,000",
,,,,MHP,,,,,,,,,13.4,,,"120,000",
,MBMA Total,,,,,,,,,"95,450",,,,,,"258,000",
TBP (Harita),,,,Ferronickel,,,68.4,,,"101,538",,,28.7,,,"305,000",
,,,,MHP,,,13.4,,,"63,655",,,13.4,,,"120,000",
,TBP (Harita),,,,,,,,"165,193",,,,,,"425,000",,
,Total,,,,,,,,,,,,,,,,
Vale,,,,Matte,,,28.7,,,"70,728",,,28.7,,,"70,000",
,,,,Ferronickel,,,,,,,,,28.7,,,"73,000",
,,,,MHP,,,,,,,,,13.4,,,"180,000",
,Vale total,,,,,,,,,,,,,,,"323,000",
